zip_code,brand,product_name,price,sale_price,snap_eligible
94110,"Zevia","Zevia Zero Sugar Soda, Black Cherry, 12 Ounce Sleek Can",0.00,None,False
94110,"go Raw","Go Raw Organic Sprouted Pumpkin Seeds, 14 Oz",$14.99,None,True
94110,"Lakewood","JUICE TROPICAL PUNCH 8CT",$4.99,None,True
94110,"Rao's","Rao's Made for Home Meat Lasagna, Frozen Meals, 27oz, Premium Quality Italian Tomatoes, Pasta, and Fresh Ricotta Cheese",$13.99,None,True
94110,"Divina","DIVINA Muffuletta Olive Salad, 13 OZ",0.00,None,False
94110,"Whole Foods Market","Whole Foods Market Organic Pink Grapefruit Italian Soda, 11.2 Fl Oz, 4 Pack",$4.69,None,True
94110,"Mestemacher","Mestemacher Rye Whole Bread, 17.6 Ounce - 1 each.",$4.89,None,True
94110,"RW Garcia","RW GARCIA Organic Sweet Beet Crackers, 5.5 OZ",$5.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market, Organic Low Sodium Chicken Broth, 32 Fl Oz",$2.99,None,True
94110,"365 by Whole Foods Market","Mini Dark Chocolate Peanut Butter Cups, 4.7 Ounce",$4.99,None,True
94110,"Wilburs Of Maine","Wilburs Of Maine Dark Chocolate Raisins, 8 Oz",0.00,None,False
94110,"Banza","Banza Chocolate Chip Waffles, Frozen Waffles from Chickpeas - High Protein, Gluten Free, Lower Carb Toaster Waffles, 8oz",$6.99,None,True
94110,"365 by Whole Foods Market","Organic Shoyu Soy Sauce Reduced Sodium, 10 Ounce",$2.99,None,True
94110,"365 by Whole Foods Market","Organic Carrots, Shredded, 10 oz",$2.79,None,True
94110,"365 by Whole Foods Market","Organic Light Brown Sugar, 24 Ounce",$4.39,None,True
94110,"North Country Smokehouse","North Country Smokehouse Organic Applewood Smoked Ham, 6 Ounce",$8.29,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Organic Honey Maple Sliced Ham, 6 OZ",$5.49,None,True
94110,"365 by Whole Foods Market","365 By Whole Foods Market, Organic Roasted Garlic Hummus, 8 Ounce",$3.19,None,True
94110,"Garden of Life","Garden of Life Meal Replacement Shakes, Raw Organic, Vanilla Protein Powder with Plant Based Pea Protein, Sprouts, Greens, Probiotics, Dairy Free 28 Servings",0.00,None,False
94110,"LITEHOUSE","Litehouse, Homestyle Ranch Dressing, 13 oz",$4.29,None,True
94110,"365 by Whole Foods Market","Organic Lasagne, 16 Ounce",$1.89,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Nashville Hot Breaded Chicken Fillets, 8 OZ",$7.99,None,True
94110,"Miss Jones Baking","Miss Jones Baking Organic Buttercream Frosting, Perfect for Icing and Decorating, Vegan-Friendly: Vanilla (Pack of 1)",$6.99,None,True
94110,"Zevia","Zevia Zero Sugar Soda, Black Cherry, 12 Ounce Sleek Can",0.00,None,False
94110,"go Raw","Go Raw Organic Sprouted Pumpkin Seeds, 14 Oz",$14.99,None,True
94110,"Lakewood","JUICE TROPICAL PUNCH 8CT",$4.99,None,True
94110,"Rao's","Rao's Made for Home Meat Lasagna, Frozen Meals, 27oz, Premium Quality Italian Tomatoes, Pasta, and Fresh Ricotta Cheese",$13.99,None,True
94110,"Divina","DIVINA Muffuletta Olive Salad, 13 OZ",0.00,None,False
94110,"Whole Foods Market","Whole Foods Market Organic Pink Grapefruit Italian Soda, 11.2 Fl Oz, 4 Pack",$4.69,None,True
94110,"Dave's Killer Bread","Dave's Killer Bread 21 Whole Grains & Seeds Thin-Sliced, Whole Grain Organic Bread, 20.5 oz Loaf",$6.49,None,True
